square,price,address
600 m²,13 588 122 836 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 08:34"
250 m²,1 688 990 969 so’m,Samarqand - Bugunda 08:32
50 m²,634 959 011 so’m,Galaosiyo - Bugunda 08:29
12 m²,1 206 422 121 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 08:31"
1 000 m²,15 873 975 276 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 08:24"
456 m²,698 454 912 so’m,Kogon - Bugunda 08:22
600 m²,800 000 000 so’mKelishilgan,Qiziltepa - 2025-07-01
280 m²,977 836 877 so’m,To'ytepa - 2025-06-30
300 m²,1 206 422 121 so’m,"Toshkent, Sirg‘ali tumani - 2025-06-30"
7.60 m²,1 396 909 824 so’m,"Toshkent, Bektemir tumani - Bugunda 08:21"
2 000 m²,552 414 340 so’m,"Toshkent, Uchtepa tumani - Bugunda 08:23"
3 000 m²,1 346 113 103 so’m,"Toshkent, Uchtepa tumani - Bugunda 08:18"
1.80 m²,488 918 439 so’m,Nazarbek - Bugunda 08:14
20 m²,5 079 672 so’mKelishilgan,"Toshkent, Uchtepa tumani - Bugunda 08:11"
67 m²,507 967 209 so’m,Farg‘ona - Bugunda 08:10
200 m²,1 596 007 572 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 08:11"
250 m²,1 803 283 591 so’mKelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 08:06"
2 m²,825 446 714 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 08:05"
712 m²,1 475 500 000 so’m,Mirobod - Bugunda 08:03
260 m²,2 666 827 846 so’mKelishilgan,"Toshkent, Mirobod tumani - 2025-07-01"
9 m²,698 454 912 so’mKelishilgan,Farg‘ona - 2025-06-30
840 m²,4 444 713 077 so’m,"Toshkent, Yashnobod tumani - Bugunda 07:55"
250 m²,3 492 274 561 so’m,"Toshkent, Yunusobod tumani - Bugunda 07:51"
900 m²,952 438 517 so’m,Yangiyo'l - Bugunda 07:50
106 m²,685 755 732 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 07:43"
400 m²,4 127 233 572 so’m,"Toshkent, Chilonzor tumani - Bugunda 07:42"
73 m²,761 938 114 so’m,"Toshkent, Yashnobod tumani - Bugunda 07:31"
800 m²,3 047 803 253 so’m,"Toshkent, Yashnobod tumani - Bugunda 07:32"
700 m²,3 047 803 253 so’m,"Toshkent, Yashnobod tumani - Bugunda 07:28"
400 m²,1 841 381 132 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 07:24"
780 m²,1 168 324 580 so’mKelishilgan,Chirchiq - Bugunda 07:18
390 m²,6 730 565 517 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - 2025-07-01"
800 m²,450 000 000 so’mKelishilgan,Nukus - Bugunda 07:17
200 m²,1 079 430 319 so’mKelishilgan,Samarqand - Bugunda 07:17
60 m²,660 357 371 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 07:13"
150 m²,3 809 754 066 so’m,Yangibozor - Bugunda 07:02
800 m²,800 000 000 so’m,Nukus - Bugunda 06:56
200 m²,1 714 389 330 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 06:56"
600 m²,4 063 737 671 so’mKelishilgan,"Toshkent, Olmazor tumani - Bugunda 06:54"
400 m²,1 904 877 033 so’m,Samarqand - Bugunda 06:47
150 m²,1 333 413 923 so’mKelishilgan,"Toshkent, Chilonzor tumani - Bugunda 06:46"
150 m²,507 967 209 so’m,"Toshkent, Yashnobod tumani - Bugunda 06:46"
36.55 m²,546 064 750 so’m,Samarqand - 2025-06-29
120 m²,507 967 209 so’m,"Toshkent, Yakkasaroy tumani - Bugunda 06:45"
150 m²,1 841 381 132 so’mKelishilgan,"Toshkent, Chilonzor tumani - Bugunda 06:45"
180 m²,1 904 877 033 so’m,"Toshkent, Yakkasaroy tumani - Bugunda 06:45"
150 m²,1 041 332 778 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 06:45"
120 m²,1 041 332 778 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 06:45"
351 m²,2 349 348 341 so’mKelishilgan,"Toshkent, Shayxontohur tumani - Bugunda 06:30"
200 m²,1 015 934 418 so’mKelishilgan,Jizzax - Bugunda 06:19
300 m²,4 000 241 770 so’m,"Toshkent, Yunusobod tumani - Bugunda 06:15"
300 m²,2 793 819 649 so’m,"Toshkent, Yunusobod tumani - Bugunda 06:14"
150 m²,571 463 110 so’mKelishilgan,Zangiota - Bugunda 06:15
100 m²,2 666 827 846 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - 2025-06-04"
6 m²,1 841 381 132 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 06:14"
3.40 m²,1 523 901 627 so’mKelishilgan,Keles - Bugunda 06:07
220 m²,3 073 201 613 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:06"
220 m²,3 073 201 613 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:06"
400 m²,692 105 322 so’mKelishilgan,Qibray - Bugunda 06:05
625 m²,44 447 130 774 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:58"
450 m²,13 969 098 243 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:56"
250 m²,3 555 770 462 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:55"
200 m²,3 809 754 066 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:54"
300 m²,1 587 397 528 so’m,Samarqand - Bugunda 05:48
2 m²,863 544 255 so’mKelishilgan,Yangiyo'l - 2025-07-01
270 m²,888 942 615 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:47"
300 m²,888 942 615 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:47"
400 m²,1 396 909 824 so’mKelishilgan,"Toshkent, Bektemir tumani - Bugunda 05:44"
400 m²,5 460 647 495 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:44"
102 m²,1 714 389 330 so’mKelishilgan,"Toshkent, Mirobod tumani - Bugunda 05:43"
206 m²,3 682 762 264 so’mKelishilgan,"Toshkent, Mirobod tumani - Bugunda 05:32"
450 m²,11 428 817 728 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:18"
400 m²,6 984 104 650 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:17"
540 m²,10 793 858 717 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:17"
300 m²,4 825 688 484 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:16"
900 m²,4 444 713 077 so’mKelishilgan,"Toshkent, Yunusobod tumani - 2025-07-01"
450 m²,6 159 102 407 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:18"
350 m²,5 714 631 099 so’mKelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 05:17"
400 m²,5 079 672 088 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:17"
450 m²,6 730 565 517 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:16"
300 m²,5 333 655 693 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 05:16"
450 m²,8 889 426 155 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 04:56"
5.65 m²,2 476 340 143 so’mKelishilgan,"Toshkent, Mirobod tumani - Bugunda 04:50"
600 m²,9 016 417 957 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 04:46"
500 m²,5 714 631 099 so’mKelishilgan,"Toshkent, Mirobod tumani - Bugunda 04:40"
4.40 m²,1 333 413 923 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 04:39"
1 000 m²,8 254 467 144 so’m,"Toshkent, Yashnobod tumani - Bugunda 00:44"
180 m²,1 650 893 429 so’m,"Toshkent, Sirg‘ali tumani - 2025-06-30"
360 m²,3 301 786 857 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 04:26"
200 m²,2 158 860 638 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 04:23"
