square,price,address
150.0,1008000000,Mirobod
300.0,1714389330,Sirg‘ali
402.0,736552453,Mirzo-Ulug‘bek
300.0,2580000000,Mirobod
450.0,13969098243,Mirzo-Ulug‘bek
242.0,4444713077,Mirzo-Ulug‘bek
150.0,5079672088,Yunusobod
58.37,2539836044,Yunusobod
350.0,5460647495,Yunusobod
90.0,952438517,Sirg‘ali
700.0,1536600807,Yashnobod
400.0,2412844242,Yunusobod
615.0,11429262199,Mirzo-Ulug‘bek
200.0,3809754066,Yakkasaroy
100.0,3111299154,Mirzo-Ulug‘bek
260.0,1803283591,Bektemir
400.0,5206663891,Mirzo-Ulug‘bek
450.0,9524385166,Mirzo-Ulug‘bek
450.0,5714631099,Uchtepa
144.0,190487703,Yunusobod
270.0,1574698347,Sirg‘ali
400.0,5587639297,Mirzo-Ulug‘bek
140.0,1384210644,Sirg‘ali
330.0,3174795055,Shayxontohur
600.0,4444713077,Uchtepa
36.0,431772128,Mirobod
160.0,2412844242,Yakkasaroy
400.0,1257218842,Sirg‘ali
333.0,5524143396,Mirzo-Ulug‘bek
180.0,2158860638,Shayxontohur
220.0,1904877033,Yunusobod
450.0,1015934418,Yunusobod
380.0,6984549122,Mirzo-Ulug‘bek
430.0,3047803253,Mirobod
300.0,1206422121,Sirg‘ali
500.0,6349577411,Mirzo-Ulug‘bek
500.0,10794303188,Mirzo-Ulug‘bek
600.0,4254225374,Mirobod
90.0,3174795055,Yunusobod
300.0,4825688484,Mirzo-Ulug‘bek
900.0,15239016265,Mirzo-Ulug‘bek
361.0,1968372934,Yunusobod
440.0,8254467144,Sirg‘ali
390.0,5460647495,Yunusobod
750.0,24128442420,Mirzo-Ulug‘bek
420.0,6730565517,Mirzo-Ulug‘bek
450.0,6603573715,Mirzo-Ulug‘bek
500.0,8876726974,Mirzo-Ulug‘bek
900.0,16508934287,Mirzo-Ulug‘bek
490.0,7238532726,Mirzo-Ulug‘bek
750.0,24128442420,Mirzo-Ulug‘bek
75.0,806397944,Uchtepa
800.0,12064221210,Mirzo-Ulug‘bek
400.0,2666827846,Yunusobod
400.0,10159344177,Mirzo-Ulug‘bek
360.0,1714389330,Mirzo-Ulug‘bek
500.0,5079672088,Mirzo-Ulug‘bek
365.0,3924046688,Yunusobod
320.0,5333655693,Mirzo-Ulug‘bek
406.0,2793819649,Uchtepa
360.0,1777885231,Mirzo-Ulug‘bek
350.0,6349590111,Mirzo-Ulug‘bek
180.0,4317721275,Mirzo-Ulug‘bek
250.0,2666827846,Mirzo-Ulug‘bek
230.0,2158860638,Mirzo-Ulug‘bek
500.0,5714631099,Shayxontohur
588.0,5333655693,Mirzo-Ulug‘bek
250.0,2222356539,Mirzo-Ulug‘bek
650.0,29208114508,Yakkasaroy
150.0,1460405725,Shayxontohur
250.0,2920811451,Mirobod
360.0,7365524528,Mirzo-Ulug‘bek
670.0,5968614704,Yakkasaroy
300.0,2666827846,Olmazor
50.0,1396909824,Yashnobod
